Station information:
Name	Agent Number	Network Number	Latitude (dec.deg)	Longitude (dec.deg)	Height (m)	Posn_Precision	Observing Authority
Kaitaia Observatory	1041	A53125	-35.134	173.263	85	G	N/A
Kerikeri Ews	1056	A53191	-35.183	173.926	79	G	N/A
Whangarei Aero Aws	1287	A54737	-35.769	174.364	37	G	Metservice
Leigh 2 Ews	1340	A64282	-36.273	174.796	27	G	N/A
Auckland, Henderson North	1423	A64863	-36.85539	174.62383	7	H	N/A
Waiheke Island, Awaroa Valley	1496	A65812	-36.80698	175.11454	34	H	N/A
Rings Beach	1516	B65762	-36.73154	175.68984	10	H	N/A
Tauranga Aero Aws	1615	B76624	-37.673	176.196	4	G	Metservice
Whakamarama	1617	B76701	-37.73206	176.00218	255	H	N/A
Oropi Water Treatment Plant	1625	B76717	-37.76974	176.13911	77	H	N/A
Edgecumbe	1664	B76972	-37.97245	176.80790	4	H	N/A
Whakatane Aero Aws	1673	B76995	-37.926	176.919	7	G	Metservice
Aniwhenua	1786	B86271	-38.29525	176.79240	158	H	N/A
Rainbow Point	1857	B86703	-38.72178	176.07196	351	H	N/A
Taupo Aws	1858	B86704	-38.744	176.081	400	G	Metservice
Motu, Waiwhero	1904	B87255	-38.27556	177.54049	488	H	N/A
Auckland Aero	1962	C74082	-37.00813	174.78873	7	H	N/A
Auckland, Ardmore	1965	C74091	-37.03402	174.96394	23	H	N/A
Raglan,Karioi	2027	C74885	-37.80211	174.86788	7	H	N/A
Ngahinapouri	2107	C75823	-37.88949	175.23220	45	H	N/A
Hamilton Aws	2112	C75834	-37.865	175.336	53	G	Metservice
Otorohanga, Glenbrook	2195	C85124	-38.159	175.194	40	G	N/A
Taumarunui	2250	C85821	-38.88784	175.25981	171	H	N/A
Ngapuke 2	2255	C85832	-38.84898	175.38172	280	H	N/A
Pukeiti	2274	C93292	-39.20232	173.97952	366	H	N/A
Lake Mangamahoe	2305	C94113	-39.121	174.114	152	G	N/A
Waipuna Woodville	2373	D05381	-40.33078	175.83817	85	H	N/A
Eastry Station	2399	D05681	-40.600	175.848	146	G	N/A
Rotowai	2510	D06072	-39.994	176.713	150	G	N/A
Aramoana	2527	D06181	-40.150	176.835	27	G	N/A
Kiritaki	2532	D06204	-40.234	175.996	216	G	N/A
Woodside 2	2599	D15032	-41.077	175.378	82	G	N/A
The Downs	2631	D15151	-41.106	175.560	61	G	N/A
Gladstone,Bannockburn	2633	D15161	-41.10943	175.63640	102	H	N/A
Gisborne Aws	2810	D87695	-38.660	177.984	5	G	Metservice
Hastings, Flag Range Rd	2973	D96461	-39.475	176.641	131	T	N/A
Napier Aero Aws	2980	D96484	-39.461	176.859	3	G	Metservice
Rose Hill	3011	D96653	-39.648	176.557	171	G	N/A
Gwavas	3037	D96741	-39.776	176.478	244	G	N/A
Ongaonga	3098	D96942	-39.90906	176.41064	214	H	N/A
Mt Vernon 2	3103	D96951	-39.983	176.563	155	T	N/A
Paraparaumu Aero	3145	E04991	-40.907	174.984	5	G	N/A
Marton, Ross Street	3154	E05034	-40.07309	175.37615	158	H	N/A
Sanson, Ngahere	3187	E05142	-40.18901	175.46009	119	H	N/A
Greatford	3189	E05144	-40.12763	175.42254	114	H	N/A
Feilding Sandon Rd	3213	E05251	-40.222	175.549	87	G	N/A
Palmerston North Aws	3243	E05368	-40.325	175.611	39	T	Metservice
Opiki	3255	E05442	-40.44031	175.46436	11	H	N/A
Levin Aws	3275	E05620	-40.622	175.257	14	T	Metservice
Waikanae Waterworks	3307	E05802	-40.88940	175.07200	30	H	N/A
Te Horo, Longcroft	3308	E05811	-40.817	175.148	61	T	N/A
Wellington Aero	3445	E14387	-41.322	174.804	4	G	N/A
Trentham Racecourse	3476	E15101	-41.140	175.041	52	G	N/A
Moawhango, Homestead	3652	E95583	-39.58029	175.86890	503	H	N/A
Oxton	3694	E95831	-39.892	175.330	82	G	N/A
Wanganui,Spriggens Park Ews	3715	E95902	-39.93882	175.04496	15	H	N/A
Ngahere Iti	3737	E95952	-39.99560	175.53653	182	H	N/A
Hokitika Aero	3909	F20793	-42.716	170.988	39	G	N/A
Greymouth Aero	3950	F21422	-42.462	171.191	4	G	N/A
Kowhitirangi No 2	3992	F21801	-42.885	171.032	30	G	N/A
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.


Statistics codes in this query are:
Code	Description	Units
00	Total Rainfall	Mm
01	Wet Days - Number Of Days With 1mm Or More Of Rain	Day
40	Rain Days - Number Of Days With 0.1mm Or More	Day
Note: Statistics calculations are based on Local Time.
Monthly extremes are recorded on the Local-Time day of the month.
Annual extremes are recorded in the Local-Time month of the year.

Stats: Combined
Station	Year 	Stats_Code	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Annual
1041	2010	00	32.8	22.9	35.9	39.1	177.6	94.6	122.3	262.1	150.8	27.6	30.9	110.6	1107.2
1041	2010	01	9.0	3.0	3.0	6.0	16.0	14.0	12.0	23.0	20.0	7.0	5.0	12.0	130.0
1041	2010	40	13.0	9.0	6.0	11.0	23.0	20.0	18.0	27.0	22.0	10.0	6.0	16.0	181.0
1056	2010	00	57.0	74.8	61.0	-	267.2	138.2	217.0	281.5	86.5	49.9	23.8	119.2	-
1056	2010	01	6.0	8.0	9.0	-	18.0	14.0	13.0	18.0	13.0	5.0	4.0	10.0	-
1056	2010	40	7.0	10.0	11.0	-	20.0	22.0	18.0	25.0	20.0	7.0	9.0	12.0	-
1287	2010	00	39.8	65.0	7.6	40.8	232.2	67.1	159.0	166.8	78.4	35.4	14.2	98.2	1004.5
1287	2010	01	6.0	7.0	2.0	7.0	14.0	19.0	12.0	20.0	13.0	9.0	5.0	8.0	122.0
1287	2010	40	14.0	12.0	8.0	13.0	19.0	24.0	20.0	26.0	18.0	12.0	5.0	14.0	185.0
1340	2010	00	-	-	-	24.0	245.4	129.6	79.4	172.6	103.2	36.4	26.6	137.0	-
1340	2010	01	-	-	-	6.0	14.0	19.0	9.0	19.0	16.0	9.0	2.0	8.0	-
1340	2010	40	-	-	-	13.0	21.0	24.0	18.0	26.0	22.0	13.0	5.0	13.0	-
1423	2010	00	66.5	11.3	33.8	45.9	234.1	201.9	152.5	230.9	164.1	33.1	40.1	150.2	1364.4
1423	2010	01	8.0	5.0	5.0	9.0	15.0	17.0	14.0	23.0	20.0	11.0	5.0	8.0	140.0
1423	2010	40	12.0	9.0	12.0	14.0	19.0	24.0	18.0	27.0	24.0	13.0	11.0	16.0	199.0
1496	2010	00	37.6	14.0	15.5	21.5	226.0	200.0	76.9	218.5	125.5	37.0	36.0	122.5	1131.0
1496	2010	01	10.0	5.0	7.0	6.0	15.0	16.0	11.0	21.0	18.0	10.0	7.0	9.0	135.0
1496	2010	40	11.0	5.0	7.0	6.0	17.0	18.0	11.0	21.0	19.0	12.0	7.0	9.0	143.0
1516	2010	00	67.3	35.8	39.8	43.1	407.3	263.9	224.2	254.3	162.7	62.6	78.6	167.9	1807.5
1516	2010	01	9.0	7.0	7.0	6.0	15.0	18.0	10.0	17.0	20.0	9.0	9.0	9.0	136.0
1516	2010	40	14.0	13.0	12.0	12.0	20.0	23.0	18.0	23.0	24.0	13.0	15.0	19.0	206.0
1615	2010	00	178.2	10.0	16.8	26.6	254.2	201.5	51.8	274.4	139.5	23.4	35.8	113.2	1325.4
1615	2010	01	9.0	5.0	3.0	6.0	12.0	13.0	7.0	19.0	18.0	5.0	8.0	10.0	115.0
1615	2010	40	12.0	8.0	6.0	8.0	15.0	20.0	9.0	22.0	21.0	8.0	12.0	14.0	155.0
1617	2010	00	199.0	53.0	16.0	80.0	313.0	322.0	111.0	424.0	281.0	51.0	83.0	220.0	2153.0
1617	2010	01	8.0	6.0	2.0	4.0	15.0	14.0	8.0	15.0	18.0	6.0	8.0	8.0	112.0
1617	2010	40	8.0	6.0	2.0	4.0	15.0	14.0	8.0	15.0	18.0	6.0	8.0	8.0	112.0
1625	2010	00	184.4	25.3	12.4	34.3	315.8	260.9	77.6	362.6	212.9	31.3	57.7	158.2	1733.4
1625	2010	01	12.0	7.0	2.0	5.0	15.0	16.0	9.0	21.0	20.0	6.0	7.0	10.0	130.0
1625	2010	40	14.0	12.0	6.0	6.0	19.0	22.0	12.0	23.0	23.0	10.0	10.0	12.0	169.0
1664	2010	00	132.3	32.5	10.5	91.5	316.1	247.6	77.4	331.5	233.6	44.6	62.4	191.2	1771.2
1664	2010	01	12.0	5.0	3.0	6.0	13.0	12.0	8.0	16.0	12.0	7.0	7.0	9.0	110.0
1664	2010	40	14.0	9.0	5.0	7.0	16.0	16.0	10.0	24.0	15.0	12.0	9.0	10.0	147.0
1673	2010	00	132.4	29.4	29.1	79.8	294.2	320.9	60.8	251.9	149.3	55.1	39.4	130.8	1573.1
1673	2010	01	11.0	7.0	3.0	4.0	12.0	15.0	7.0	16.0	13.0	9.0	8.0	9.0	114.0
1673	2010	40	14.0	12.0	3.0	6.0	14.0	17.0	8.0	22.0	16.0	11.0	13.0	9.0	145.0
1786	2010	00	234.0	35.0	29.5	80.0	322.5	253.5	48.5	371.0	200.5	77.5	42.0	165.5	1859.5
1786	2010	01	13.0	7.0	3.0	6.0	-	16.0	9.0	-	21.0	12.0	8.0	11.0	-
1786	2010	40	15.0	7.0	3.0	7.0	-	16.0	9.0	-	21.0	13.0	8.0	11.0	-
1857	2010	00	129.6	25.6	19.6	39.5	104.3	217.8	22.8	195.0	153.6	25.5	13.5	56.4	1003.2
1857	2010	01	8.0	7.0	3.0	4.0	13.0	16.0	4.0	15.0	16.0	8.0	3.0	7.0	104.0
