Station	Year 	Stats_Code	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Annual
1041	2010	00	32.8	22.9	35.9	39.1	177.6	94.6	122.3	262.1	150.8	27.6	30.9	110.6	1107.2
1041	2010	01	9.0	3.0	3.0	6.0	16.0	14.0	12.0	23.0	20.0	7.0	5.0	12.0	130.0
1041	2010	40	13.0	9.0	6.0	11.0	23.0	20.0	18.0	27.0	22.0	10.0	6.0	16.0	181.0
1056	2010	00	57.0	74.8	61.0	-	267.2	138.2	217.0	281.5	86.5	49.9	23.8	119.2	-
1056	2010	01	6.0	8.0	9.0	-	18.0	14.0	13.0	18.0	13.0	5.0	4.0	10.0	-
1056	2010	40	7.0	10.0	11.0	-	20.0	22.0	18.0	25.0	20.0	7.0	9.0	12.0	-
1287	2010	00	39.8	65.0	7.6	40.8	232.2	67.1	159.0	166.8	78.4	35.4	14.2	98.2	1004.5
1287	2010	01	6.0	7.0	2.0	7.0	14.0	19.0	12.0	20.0	13.0	9.0	5.0	8.0	122.0
1287	2010	40	14.0	12.0	8.0	13.0	19.0	24.0	20.0	26.0	18.0	12.0	5.0	14.0	185.0
1340	2010	00	-	-	-	24.0	245.4	129.6	79.4	172.6	103.2	36.4	26.6	137.0	-
1340	2010	01	-	-	-	6.0	14.0	19.0	9.0	19.0	16.0	9.0	2.0	8.0	-
1340	2010	40	-	-	-	13.0	21.0	24.0	18.0	26.0	22.0	13.0	5.0	13.0	-
1423	2010	00	66.5	11.3	33.8	45.9	234.1	201.9	152.5	230.9	164.1	33.1	40.1	150.2	1364.4
1423	2010	01	8.0	5.0	5.0	9.0	15.0	17.0	14.0	23.0	20.0	11.0	5.0	8.0	140.0
1423	2010	40	12.0	9.0	12.0	14.0	19.0	24.0	18.0	27.0	24.0	13.0	11.0	16.0	199.0
1496	2010	00	37.6	14.0	15.5	21.5	226.0	200.0	76.9	218.5	125.5	37.0	36.0	122.5	1131.0
1496	2010	01	10.0	5.0	7.0	6.0	15.0	16.0	11.0	21.0	18.0	10.0	7.0	9.0	135.0
1496	2010	40	11.0	5.0	7.0	6.0	17.0	18.0	11.0	21.0	19.0	12.0	7.0	9.0	143.0
1516	2010	00	67.3	35.8	39.8	43.1	407.3	263.9	224.2	254.3	162.7	62.6	78.6	167.9	1807.5
1516	2010	01	9.0	7.0	7.0	6.0	15.0	18.0	10.0	17.0	20.0	9.0	9.0	9.0	136.0
1516	2010	40	14.0	13.0	12.0	12.0	20.0	23.0	18.0	23.0	24.0	13.0	15.0	19.0	206.0
1615	2010	00	178.2	10.0	16.8	26.6	254.2	201.5	51.8	274.4	139.5	23.4	35.8	113.2	1325.4
1615	2010	01	9.0	5.0	3.0	6.0	12.0	13.0	7.0	19.0	18.0	5.0	8.0	10.0	115.0
1615	2010	40	12.0	8.0	6.0	8.0	15.0	20.0	9.0	22.0	21.0	8.0	12.0	14.0	155.0
1617	2010	00	199.0	53.0	16.0	80.0	313.0	322.0	111.0	424.0	281.0	51.0	83.0	220.0	2153.0
1617	2010	01	8.0	6.0	2.0	4.0	15.0	14.0	8.0	15.0	18.0	6.0	8.0	8.0	112.0
1617	2010	40	8.0	6.0	2.0	4.0	15.0	14.0	8.0	15.0	18.0	6.0	8.0	8.0	112.0
1625	2010	00	184.4	25.3	12.4	34.3	315.8	260.9	77.6	362.6	212.9	31.3	57.7	158.2	1733.4
1625	2010	01	12.0	7.0	2.0	5.0	15.0	16.0	9.0	21.0	20.0	6.0	7.0	10.0	130.0
1625	2010	40	14.0	12.0	6.0	6.0	19.0	22.0	12.0	23.0	23.0	10.0	10.0	12.0	169.0
1664	2010	00	132.3	32.5	10.5	91.5	316.1	247.6	77.4	331.5	233.6	44.6	62.4	191.2	1771.2
1664	2010	01	12.0	5.0	3.0	6.0	13.0	12.0	8.0	16.0	12.0	7.0	7.0	9.0	110.0
1664	2010	40	14.0	9.0	5.0	7.0	16.0	16.0	10.0	24.0	15.0	12.0	9.0	10.0	147.0
