Agent	Network	Start_Date	End_Date	Percent_Complete	Name	Lat(dec_deg)	Long(dec_deg)
36593	H32895	01-Jan-2009	30-Jun-2015	100	Akaroa Ews	-43.80938	172.96574
36592	I5923B	01-Dec-2008	30-Jun-2015	100	Alexandra Cws	-45.25366	169.39205
21937	G13305	01-Apr-2001	30-Jun-2015	100	Appleby 2 Ews	-41.31727	173.09482
25821	H21956	01-Oct-2005	30-Jun-2015	100	Arthurs Pass Ews	-42.94318	171.56275
1962	C74082	01-Jan-1962	30-Jun-2015	100	Auckland Aero	-37.00813	174.78873
22719	C64972	01-May-2002	30-Jun-2015	100	Auckland, Mangere Ews	-36.96177	174.77642
26163	I69276	01-Jan-2006	30-Jun-2015	100	Balclutha, Telford Ews	-46.29282	169.7315
4326	G13585	01-Oct-1990	30-Jun-2015	100	Blenheim Aero Aws	-41.523	173.865
12430	G13495	01-Jun-1996	30-Jun-2015	100	Blenheim Research Ews	-41.49891	173.96285
6174	K94402	01-Jan-1992	30-Jun-2015	100	Campbell Island Aws	-52.55	169.15
17840	K98616	01-Nov-1999	30-Jun-2015	100	Chatham Island Ews	-43.81687	-176.475
39661	H31793	01-Aug-2012	30-Jun-2015	100	Chertsey Cws	-43.79393	171.9607
4843	H32451	01-Aug-1943	30-Jun-2015	100	Christchurch Aero	-43.493	172.537
24120	H3256F	01-Nov-2002	30-Jun-2015	100	Christchurch, Kyle St Ews	-43.53074	172.60769
39564	I5923C	01-Jun-2011	30-Jun-2015	100	Clyde 2 Ews	-45.20342	169.3182
26381	I59013	01-May-2006	30-Jun-2015	100	Cromwell Ews	-45.03392	169.1955
26958	D06214	01-Jul-2007	30-Jun-2015	100	Dannevirke Ews	-40.217	176.117
25119	A53987	01-Nov-2003	30-Jun-2015	100	Dargaville 2 Ews	-35.93145	173.85317
7339	I50922	01-Dec-1991	30-Jun-2015	100	Dunedin Aero Aws	-45.929	170.197
15752	I50954	01-Sep-1997	30-Jun-2015	100	Dunedin, Musselburgh Ews	-45.90129	170.5147
